text,emotion
اين شايد اولين عزاى عمومى واقعى است كه ياد دارم. تمام وجودم عزادار است؛ پر از گريه، پر از خشم، پر از فرياد. مثل همهى شما. . #آتشنشان_تسليت,sadness
دیشب بعد از ارسال تویت مربوط به آثار باستانی تویت دیگری نوشتم ولی هرچه منتظر شدم ارسال نشد، از همون موقع تا الان تویتر نداشتم، ناراحت بودم که نکنه پیامی داده باشین ومن نبینم که الحمدالله خبری نیست خوب، چه خبر؟ من نبودم خوش گذشته؟,happiness
امروز وسط یه بحث با بابا مامانم گفتم آدم باید تلاش کنه شادی تو قلبش باشه بعدش میخواستم پاشم دور افتخار بزنم به خاطر حماسهای که خلق کردم!,happiness
امشب گفت نامزدی دوستش که ادم روشنفکری است بهم خورده و دختر بشدت نگران حرف مردم گفتم وای به مردم روشنفکرمون که نگران مردمند پس تقصیری بر مادر حاشیه من نیست که بعد از یکسال و درگوشی درمورد تجاوز به دخترش حرف میزنه و ترس از ابرو داره #زنان_را_بشنوید,sadness
به امید موفقیت تیم ملی #ایران و پیروزی در بازی امروز در برابر #ژاپن,happiness
با آرزوی موفقیت و پیروزی #all_for_teammeli #ایران #جام_جهانی_۲۰۱۸ #بورس #سهام #ده_درصد,happiness
"دلمه خوردن تو خونهی مادربزرگ با خاله ها و خنده و حرف زدن تا ۵ صبح... رو تشکای دستدوز و لحافای سنگین کنار هم قطاری خوابیدن و صدای پچ پچ تا وقتی که روشنی صبح بزنه تو اتاق و یکی داد بزنه""بخوابید دیگه"" همین الان که دارم تجربه میکنم هم بازم دلم میخواد...بیشتر میخوام...کاش تموم نشه",happiness
فن مترو خراب بود. ملت داشتن غر میزدن. آقای میانسالی گفت: وقتی تو مدرسه به بچهها تجاوز میکنن توقع دارین مترو همهچیزش سالم باشه! #مترو,surprise
از ترس دوستان، آشنایان، اقوام، همکاران و... بیست و چهار ساعته نه سمت تلگرام رفتم نه اینستاگرام,fear
باید کاری کنم باید این زن گریان درونم رو نجات بدم باید،باید،باید,sadness
به واقع قشنگ ترین جک چند وقت اخیر بود ، خیلی خندیدم ، خیییییلی  …,happiness
بیماری قارچی میان دانشآموزان ایرانشهری و بیتوجهی مسئولان ولایی نسبت به درمان شهرستان ایرانشهر استان سیستان و بلوچستان، بیماری قارچی و کچلی میان دانشآموزان اپیدمی شده و این دانشآموزان به علت فقر و محرومیت زیاد نمیتوانند به پزشک مراجعه کنند! #چهل_سال_شکست #چهل_سال_عقبگرد,sadness
رفته بودم لوازم یدکی بگیرم پیرمده اومد یک قطعه می خواست قیمتش 11 تومن بود داد رفت بعد فروشنده گفت #چه_مردم_نازنینی داریم هر چی میگی میدن یکی اعتراض نمیکنه چرا قطعه ای که تادیروز 2 تومن بود شده 11 تومن اخه چرا اینقدر زیادی نازنیند !,surprise
دیدم حمیدرضا عارف در مصاحبه با انصاف نیوز گله کرده که انتقادها به حرفهایش حاصل شنیدن حرفهای تقطیع شده بوده. دیدم راست میگوید. کل مصاحبه را نگاه کردم. راست میگفت. حرفهایش انتقاد برانگیز نیست. حال به هم زننده و تهوع آور است. #ژن_خوب,hate
در #سمینار_کودک_آزاری اعتراض می کنیم پرسش میکنیم متعهد میشویم مطالبه میکنیم برای حمایت ازکودکی که هرثانیه داره آزارمیبینه درمحلات حاشیه,sadness
طوفان یه جوری منشن میده داشتم اشک میریختم حالا خنده ام قطع نمیشه. خدا خیرت بده,happiness
این اوضاع که آقازاده هابه سادگی چپاول میکنند چراباید یه عده به حاشیه سازی بپردازند وهواس عمومی مردم رو پرت کنند باچند فاحشه مانند مائدهژبری؟ اول اینکه عفت جزء ی ازدین مااست دوم کسی که به بیت المال ضرر وارد کند مفسد است وحکمش اعدام سوم در زمین دشمن بازی نکنید یاعلی,anger
این یافا عجب میوه بیخودیه، بوی تخم مرغ و ماهی خام میده، رخ نارنگی داره مزهاش میکس پرتقال و لیموشیرینه.. عصن ثبات شخصیت نداره، واقعا بیدلیل ازش بدم نمیاد.,hate
مربی خارجی حق ندارد، مربی خارجی بی قد و قواره و ... ولی میدانید که مردم هم حق اعتراض ندارن ؟ مردم هم خس و خاشاکن ؟ مردم هم بد بختن و شما از همه بهتر میبنید و میدانید! تریبون اصلی مملکت هم در اختیار شماس، چه قدمی برداشتید جز سانسور و جز شانتاژ رسانه ای؟  …,anger
این گوشی تخمی باز مموریو نمیخونه ریده به اعصابم,anger
و تکثیر میدان ساحلیها، آفرین به شجاعتت.  …,happiness
